mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_max_samples,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.35410022735595703,0.023181105727583445,0.018169323603312176,0.0025064970230229073,5,,0.25,6,100,"{'max_depth': 5, 'max_features': None, 'max_samples': 0.25, 'min_samples_split': 6, 'n_estimators': 100}",0.5793339044542224,0.46096970846350305,0.5874412901830536,0.5425816343669263,0.05780318482049471,457
0.7581752936045328,0.043464874783277783,0.03358729680379232,0.0059489817458987255,5,,0.25,6,200,"{'max_depth': 5, 'max_features': None, 'max_samples': 0.25, 'min_samples_split': 6, 'n_estimators': 200}",0.5707224660959804,0.45051456646475796,0.5726423433939445,0.5312931253182276,0.05712444403838813,606
0.09533905982971191,0.014405026501718213,0.008312861124674479,0.0015377778578246615,5,,0.25,10,25,"{'max_depth': 5, 'max_features': None, 'max_samples': 0.25, 'min_samples_split': 10, 'n_estimators': 25}",0.6061070275177871,0.4568679442276241,0.5599167274706134,0.5409638997386749,0.06238313476466459,473
0.1997224489847819,0.010749304245229827,0.01672673225402832,0.0019423330050603801,5,,0.25,10,50,"{'max_depth': 5, 'max_features': None, 'max_samples': 0.25, 'min_samples_split': 10, 'n_estimators': 50}",0.5540100388191151,0.47052823416641376,0.5455712820312533,0.5233698516722608,0.037523153381228906,680
0.40917062759399414,0.014147499774193436,0.021839300791422527,0.00260458822820823,5,,0.25,10,100,"{'max_depth': 5, 'max_features': None, 'max_samples': 0.25, 'min_samples_split': 10, 'n_estimators': 100}",0.5695539717224152,0.4602740004763728,0.5751827874680757,0.5350035865556212,0.052891739546338114,559
0.7056771119435629,0.02278714268687956,0.024647633234659832,0.002250145830716203,5,,0.25,10,200,"{'max_depth': 5, 'max_features': None, 'max_samples': 0.25, 'min_samples_split': 10, 'n_estimators': 200}",0.5659810061105423,0.4550265365297278,0.5726571839483399,0.5312215755295366,0.05394692338318759,609
0.1510318120320638,0.010156413891476092,0.0057858626047770185,0.0023778391394122986,5,,0.5,2,25,"{'max_depth': 5, 'max_features': None, 'max_samples': 0.5, 'min_samples_split': 2, 'n_estimators': 25}",0.595587380212869,0.37161951780956126,0.6023583366463897,0.5231884115562734,0.10721103371841828,684
0.26767150561014813,0.01703999112021711,0.010416030883789062,0.001140886238748669,5,,0.5,2,50,"{'max_depth': 5, 'max_features': None, 'max_samples': 0.5, 'min_samples_split': 2, 'n_estimators': 50}",0.5719356596911569,0.42368187718138006,0.5926224900284587,0.5294133423003319,0.07523892288127279,631
0.5444523493448893,0.005553886232100456,0.01679674784342448,0.005557937147175709,5,,0.5,2,100,"{'max_depth': 5, 'max_features': None, 'max_samples': 0.5, 'min_samples_split': 2, 'n_estimators': 100}",0.5953722144818019,0.44897354596922634,0.5932135075883469,0.5458530893464584,0.06850985061823203,409
1.1188817024230957,0.025515987081099284,0.027813831965128582,0.005678392524115831,5,,0.5,2,200,"{'max_depth': 5, 'max_features': None, 'max_samples': 0.5, 'min_samples_split': 2, 'n_estimators': 200}",0.5994765016827659,0.43119539605758106,0.6058134818206804,0.5454951265203424,0.08086350894032078,416
