"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"Polar Surface Area";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX Acidic pKa";"CX Basic pKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA (Lipinski)";"HBD (Lipinski)";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Np Likeness Score";"Molecular Species";"Molecular Formula";"Smiles";"Inchi Key"
"CHEMBL3264690";"";"";"Small molecule";"";"336.42";"5";"14";"4.26";"56.74";"6";"0";"0";"5";"N";"0.51";"None";"None";"4.79";"4.79";"4";"MOL";"-1";"24";"5";"0";"0";"336.1045";"-2.28";"NEUTRAL";"C18H16N4OS";"CCc1ccc(-n2cc(CSc3nc4ccccc4o3)nn2)cc1";"YZIAGKVBNGLJFM-UHFFFAOYSA-N"
"CHEMBL3264696";"";"";"Small molecule";"";"326.36";"4";"5";"3.84";"56.74";"6";"0";"0";"4";"N";"0.53";"None";"None";"3.97";"3.97";"4";"MOL";"-1";"23";"5";"0";"0";"326.0638";"-2.59";"NEUTRAL";"C16H11FN4OS";"Fc1ccc(-n2cc(CSc3nc4ccccc4o3)nn2)cc1";"IKKBSTHJSYHHHQ-UHFFFAOYSA-N"
"CHEMBL5200916";"";"";"";"";"415.47";"7";"21";"3.58";"54.26";"5";"0";"0";"4";"N";"0.51";"None";"3.20";"3.87";"3.87";"4";"MOL";"0";"31";"6";"0";"0";"415.1808";"-1.87";"NEUTRAL";"C24H22FN5O";"O=C(c1cc2ccccc2n1Cc1ccc(F)cc1)N1CCN(c2ncccn2)CC1";"WBAUABWXAYXASI-UHFFFAOYSA-N"
"CHEMBL3113232";"";"";"Small molecule";"";"291.38";"3";"3";"2.81";"71.09";"4";"2";"0";"4";"N";"0.91";"9.70";"6.95";"1.60";"1.47";"2";"MOL";"-1";"20";"5";"2";"0";"291.1041";"-1.70";"NEUTRAL";"C14H17N3O2S";"Cc1ccc(Nc2cnccc2NS(C)(=O)=O)cc1C";"OQSNXVJQCQCAGM-UHFFFAOYSA-N"
"CHEMBL3264701";"";"";"Small molecule";"";"364.47";"4";"5";"5.00";"56.74";"6";"0";"0";"4";"N";"0.48";"None";"None";"5.38";"5.38";"4";"MOL";"-1";"26";"5";"0";"0";"364.1358";"-2.23";"NEUTRAL";"C20H20N4OS";"CC(C)(C)c1ccc(-n2cc(CSc3nc4ccccc4o3)nn2)cc1";"DOKXRCFCOGDSEH-UHFFFAOYSA-N"
"CHEMBL3325873";"";"";"Small molecule";"";"427.51";"8";"13";"4.27";"91.46";"8";"2";"0";"5";"N";"0.37";"11.24";"3.79";"5.28";"5.28";"4";"MOL";"-1";"32";"8";"2";"0";"427.2121";"-1.53";"NEUTRAL";"C24H25N7O";"Cc1nn(-c2ccccc2)c(N2CCCCC2)c1/C=N/Nc1nc2ccccc2nc1O";"HGSCZPFYZGNCLI-PCLIKHOPSA-N"
"CHEMBL3325874";"";"";"Small molecule";"";"428.50";"8";"13";"2.69";"103.49";"9";"3";"0";"5";"N";"0.33";"11.24";"8.82";"3.89";"2.46";"4";"MOL";"-1";"32";"9";"3";"0";"428.2073";"-1.48";"BASE";"C23H24N8O";"Cc1nn(-c2ccccc2)c(N2CCNCC2)c1/C=N/Nc1nc2ccccc2nc1O";"SGWFIJSYEOLUGL-MFKUBSTISA-N"
"CHEMBL2380861";"";"";"Small molecule";"";"227.26";"3";"3";"2.70";"56.23";"3";"1";"0";"3";"Y";"0.82";"None";"None";"1.80";"1.80";"2";"MOL";"-1";"17";"3";"2";"0";"227.0946";"-0.42";"NEUTRAL";"C14H13NO2";"CC(=O)/C(=C(\N)c1ccco1)c1ccccc1";"PZJGMCDQRUFQDN-BUHFOSPRSA-N"
"CHEMBL1814713";"";"";"Small molecule";"";"358.41";"4";"4";"4.76";"54.37";"2";"1";"0";"5";"N";"0.86";"4.34";"None";"5.51";"2.58";"2";"MOL";"-1";"25";"3";"1";"0";"336.1725";"0.42";"ACID";"C22H23NaO3";"Cc1ccc(-c2cc(C(C)C(=O)[O-])ccc2CC2CCCC2=O)cc1.[Na+]";"DKYBDHTZRSEVKL-UHFFFAOYSA-M"
"CHEMBL1814711";"";"";"Small molecule";"";"248.32";"3";"3";"2.58";"57.53";"2";"2";"0";"4";"N";"0.86";"4.28";"None";"2.96";"-0.02";"1";"MOL";"-1";"18";"3";"2";"0";"248.1412";"0.92";"ACID";"C15H20O3";"CC(C(=O)O)c1ccc(C[C@H]2CCC[C@H]2O)cc1";"SHAHPWSYJFYMRX-WDEVSDKISA-N"
